data,local,velocidade_vento,terreno,correnteza,visibilidade,obstaculos,risco
2024-11-09 06:34:51,24,48,asfalto molhado,13,19,False,2
2021-08-16 14:42:01,44,98,seco,88,4,False,3
2025-04-26 01:43:41,0,43,navegavel,1,30,False,1
2022-04-10 23:05:59,9,5,seco,21,28,True,2
2025-12-17 01:55:52,20,39,lama,85,41,False,3
2024-09-04 06:05:55,49,14,lama,46,50,True,2
2023-08-21 17:38:58,48,69,navegavel,20,86,False,1
2021-01-14 19:06:34,8,71,telhado,80,83,False,3
2023-08-29 20:42:17,1,2,lama,53,55,False,2
2023-01-20 12:31:32,10,98,asfalto molhado,3,61,False,2
2026-04-06 14:34:26,3,52,seco,13,65,False,1
2020-09-10 09:45:31,15,29,telhado,8,32,True,3
2025-06-03 16:10:45,7,29,telhado,49,39,True,3
2020-04-05 16:22:59,5,25,seco,71,25,False,2
2021-04-20 18:44:43,23,39,seco,7,18,False,1
2020-11-17 12:41:54,2,52,navegavel,17,97,True,2
2025-08-03 14:27:48,36,47,navegavel,63,88,True,2
2021-04-27 17:03:26,19,82,asfalto molhado,64,75,False,3
2022-07-16 00:04:30,28,44,navegavel,3,14,False,1
2020-12-28 19:28:27,21,23,seco,77,40,False,2
2022-11-01 17:03:35,41,78,telhado,76,18,False,4
2020-10-22 15:29:00,34,0,asfalto molhado,24,38,False,2
2022-09-12 08:25:36,34,92,telhado,43,18,False,3
2021-10-10 01:20:10,47,30,navegavel,76,10,False,2
2026-01-06 14:50:32,32,99,asfalto molhado,42,85,True,3
2023-12-09 10:59:08,41,58,navegavel,31,14,False,2
2023-05-13 12:56:42,24,18,seco,43,25,False,1
2024-03-31 22:01:26,5,85,lama,34,89,True,3
2023-02-17 13:37:20,34,35,asfalto molhado,7,73,False,1
2025-04-05 14:14:34,38,42,telhado,18,36,True,3
2022-09-09 00:02:11,6,77,navegavel,20,53,False,1
2023-03-19 10:52:37,35,46,asfalto molhado,12,41,False,2
2021-12-01 21:11:44,34,34,lama,31,24,False,2
2024-11-22 06:39:16,9,44,asfalto molhado,8,60,False,1
2024-10-12 17:28:08,48,21,asfalto molhado,30,51,False,1
2025-09-23 21:28:09,41,4,navegavel,90,31,False,2
2023-10-15 02:40:25,17,29,asfalto molhado,17,34,False,2
2021-09-30 20:21:17,43,22,lama,15,0,False,2
2022-02-06 17:57:38,24,61,telhado,10,60,True,3
2020-02-27 08:47:45,10,56,lama,64,54,True,4
2024-09-23 10:11:25,42,87,telhado,21,80,False,2
2021-03-06 01:26:30,0,10,navegavel,13,14,False,1
2026-01-23 23:03:03,35,61,lama,13,62,False,2
2023-01-19 04:16:37,8,83,navegavel,81,96,False,2
2025-11-04 10:28:05,41,50,navegavel,90,66,False,1
2023-05-09 21:58:01,7,91,telhado,18,33,False,3
2021-08-10 22:46:52,19,19,seco,64,27,True,3
2025-09-01 21:57:21,10,36,telhado,11,35,False,2
2020-06-27 23:56:25,23,54,lama,84,14,False,4
2023-01-08 12:45:00,20,35,telhado,59,25,True,4
2025-08-25 06:47:23,15,13,seco,43,85,False,0
2020-12-23 03:09:55,41,41,telhado,84,18,True,4
2022-09-17 13:07:18,36,95,seco,50,99,False,1
2023-08-06 05:34:48,32,12,seco,50,29,False,1
2020-06-10 18:26:39,32,64,lama,4,20,True,4
2022-07-13 15:54:33,29,83,lama,46,5,True,4
2022-12-29 19:29:14,23,15,seco,49,56,True,1
2026-01-18 07:12:52,49,95,seco,75,96,False,2
2024-11-25 09:08:54,42,82,seco,69,85,False,2
2022-09-13 00:27:45,40,48,seco,76,14,False,2
2025-04-11 04:20:44,29,26,seco,19,90,False,0
2026-03-30 10:49:36,39,23,seco,57,90,False,1
2022-09-30 03:06:49,29,2,seco,42,10,False,1
2022-03-21 19:33:07,42,1,telhado,59,44,False,3
2022-06-24 02:22:41,3,18,seco,60,64,False,1
2024-06-04 03:54:48,26,51,telhado,70,70,False,3
2024-05-14 10:45:34,17,76,telhado,9,67,False,2
2020-02-15 19:38:59,7,2,seco,82,68,False,1
2026-02-06 11:22:36,38,26,telhado,59,6,False,3
2020-06-27 14:01:54,45,17,lama,27,16,False,2
2023-01-10 02:18:37,44,71,asfalto molhado,11,97,True,3
2021-08-08 09:31:25,20,76,navegavel,13,91,True,2
2024-08-04 20:24:55,31,56,asfalto molhado,0,7,False,3
2023-12-22 11:46:02,29,33,telhado,34,64,False,1
2020-07-06 18:37:40,39,96,seco,19,98,False,1
2024-03-27 02:41:06,25,63,navegavel,38,72,False,1
2025-06-27 15:15:52,14,53,navegavel,30,20,True,3
2024-01-11 05:30:20,34,18,asfalto molhado,19,76,True,2
2024-06-16 05:42:58,38,35,asfalto molhado,85,94,False,2
2025-12-21 23:23:18,45,55,asfalto molhado,11,5,False,3
2021-01-26 09:04:03,5,37,telhado,34,18,False,2
2020-11-18 05:38:56,45,54,telhado,36,14,True,4
2024-07-09 14:33:04,45,55,lama,37,94,False,2
2021-11-14 07:23:24,48,51,lama,70,93,False,3
2022-11-29 23:52:50,22,89,telhado,95,0,False,4
2024-04-12 08:51:24,48,44,seco,26,15,False,1
2025-07-03 01:40:16,8,78,navegavel,45,58,True,2
2021-01-09 00:28:29,44,39,lama,93,12,False,3
2020-06-30 03:57:18,0,62,lama,90,27,True,5
2025-08-12 18:28:04,9,79,navegavel,46,44,False,2
2022-04-10 09:48:07,41,91,seco,9,5,True,3
2020-05-17 01:34:04,3,50,telhado,19,12,True,3
2023-07-07 00:12:59,10,54,navegavel,94,81,True,3
2023-11-04 17:06:04,33,45,navegavel,18,13,False,1
2025-12-18 20:56:26,22,39,telhado,73,80,True,3
2025-10-25 12:06:01,14,2,asfalto molhado,71,81,False,2
2024-02-03 13:35:07,37,31,seco,19,95,False,0
2025-06-01 23:12:10,6,19,seco,85,82,False,1
2020-12-13 00:48:00,8,34,navegavel,74,16,False,2
2025-12-26 00:02:02,32,36,asfalto molhado,19,25,False,2
2020-03-21 23:17:56,24,46,seco,96,63,False,1
2021-11-01 01:21:13,22,55,telhado,57,54,False,3
2022-05-11 09:50:02,24,38,seco,97,87,False,1
2025-03-19 06:04:46,39,92,navegavel,81,93,True,3
2023-03-08 02:25:04,4,18,lama,52,28,False,3
2023-06-04 17:40:41,44,74,navegavel,59,11,True,4
2022-11-24 23:27:57,7,81,telhado,71,42,False,4
2020-11-19 09:44:18,6,62,seco,66,32,True,4
2024-04-19 05:42:12,38,57,asfalto molhado,23,51,False,2
2024-01-23 22:32:30,44,69,asfalto molhado,77,24,False,4
2021-09-10 13:42:42,8,57,seco,23,15,False,2
2022-06-01 15:38:08,8,41,seco,7,48,False,1
2020-05-25 05:54:59,25,6,seco,30,52,True,1
2022-02-22 02:12:40,39,84,lama,27,31,False,3
2023-09-27 14:39:06,4,34,asfalto molhado,93,84,True,3
2023-07-23 06:01:10,21,38,seco,52,69,False,1
2026-03-25 08:26:20,43,31,lama,31,15,True,3
2022-01-17 12:30:23,49,47,telhado,91,66,False,2
2020-07-06 02:47:59,32,37,lama,1,71,False,1
2020-04-15 02:22:28,4,68,lama,15,91,False,2
2025-09-20 16:21:35,25,37,navegavel,62,73,True,2
2025-04-11 19:06:11,49,97,lama,45,99,False,2
2025-12-04 21:45:11,48,82,lama,36,4,True,4
2024-10-02 08:39:38,35,26,telhado,3,61,False,1
2020-07-07 17:19:27,15,91,seco,43,15,False,2
2023-04-15 17:04:53,21,96,asfalto molhado,70,27,False,4
2020-10-08 01:14:16,26,78,seco,64,29,True,4
2025-11-04 16:22:38,36,71,asfalto molhado,15,81,False,2
2023-11-13 13:35:33,47,78,telhado,98,40,False,4
2024-05-04 10:25:11,43,63,lama,86,27,False,4
2021-10-28 04:09:33,1,86,telhado,81,18,False,4
2025-11-11 19:08:24,4,15,telhado,54,73,False,2
2021-09-01 07:28:28,29,55,lama,5,29,False,3
2021-07-02 11:51:15,3,49,lama,57,63,False,2
2025-07-29 10:22:36,6,13,asfalto molhado,15,68,False,1
