data,local,risco,n_pessoas,origem,espera,vulneraveis,necessita_medico,nivel_aguasentimento,confiavel,prioridade,nivel_agua,sentimento
2021-05-21 02:57:29,31,2,7,whatsapp,103,False,False,,False,2,tornozelo,calmo
2026-02-15 21:17:27,10,2,6,whatsapp,9,False,False,,True,1,tornozelo,calmo
2025-11-24 12:26:04,23,1,8,instagram,0,False,True,,True,2,tornozelo,nervoso
2025-08-14 10:43:41,13,4,7,whatsapp,28,True,False,,False,4,tornozelo,panico
2020-11-06 22:59:29,38,2,5,190,20,True,False,,True,4,teto,panico
2024-10-06 05:36:07,28,2,8,190,35,False,False,,True,1,cintura,calmo
2020-12-07 23:56:04,38,1,5,190,107,False,False,,True,3,teto,nervoso
2026-03-05 18:53:59,15,1,5,instagram,111,False,False,,True,4,teto,panico
2020-05-26 17:50:19,0,5,4,whatsapp,50,False,False,,True,2,tornozelo,panico
2023-01-08 12:10:31,29,2,5,instagram,101,False,True,,True,3,cintura,panico
2026-04-19 20:38:18,16,3,6,whatsapp,64,False,False,,False,0,teto,calmo
2021-04-03 22:45:17,42,2,5,whatsapp,96,False,False,,True,3,teto,nervoso
2022-01-08 13:34:11,25,0,7,instagram,3,False,False,,True,1,tornozelo,nervoso
2020-07-16 18:05:54,46,1,7,190,105,False,False,,True,4,teto,nervoso
2023-12-30 06:59:24,43,2,4,whatsapp,54,True,False,,True,3,teto,calmo
2023-05-10 18:49:27,14,3,5,190,48,False,False,,True,4,teto,panico
2022-07-07 02:53:15,43,1,6,instagram,113,False,False,,False,4,teto,nervoso
2022-01-22 03:48:33,4,2,3,instagram,25,False,False,,True,1,cintura,panico
2024-07-15 21:23:53,1,2,4,instagram,53,False,False,,True,0,teto,calmo
2024-12-03 04:13:28,1,3,2,190,106,False,False,,False,3,tornozelo,panico
2021-08-08 12:44:38,11,2,2,whatsapp,90,False,False,,True,3,teto,nervoso
2022-05-16 12:21:18,2,3,3,whatsapp,62,False,False,,True,0,teto,calmo
2025-09-11 21:37:24,23,2,2,whatsapp,113,True,False,,True,2,cintura,nervoso
2020-08-25 17:58:02,25,3,5,190,70,False,False,,True,3,tornozelo,panico
2025-01-04 19:50:11,45,3,3,190,68,False,False,,True,0,cintura,panico
2025-08-17 13:56:15,41,2,4,whatsapp,98,False,False,,True,2,tornozelo,panico
2022-01-02 13:27:19,13,2,8,190,49,False,False,,True,0,cintura,calmo
2023-07-15 19:37:16,35,4,2,whatsapp,34,False,False,,True,0,teto,calmo
2021-04-18 02:08:45,15,2,2,whatsapp,35,False,True,,True,2,cintura,panico
2022-07-01 10:11:21,12,5,6,190,71,False,False,,True,3,cintura,nervoso
2020-05-16 23:19:53,40,3,9,whatsapp,47,False,False,,True,5,teto,panico
2024-12-06 20:32:49,44,1,1,instagram,23,False,False,,False,0,tornozelo,nervoso
2025-03-26 11:02:23,4,3,6,whatsapp,24,False,False,,True,4,teto,nervoso
2020-07-26 00:58:39,13,3,2,whatsapp,14,False,True,,True,3,cintura,panico
2025-07-10 18:57:31,35,0,9,instagram,112,False,False,,True,3,tornozelo,panico
2023-10-07 09:08:48,43,3,2,instagram,40,True,False,,True,4,teto,nervoso
2025-02-20 20:28:02,19,4,8,whatsapp,104,False,False,,True,5,teto,calmo
2021-06-15 12:38:29,37,2,7,190,52,False,False,,True,1,cintura,calmo
2026-04-14 21:31:18,27,1,7,whatsapp,44,False,False,,True,3,teto,calmo
2024-08-08 14:39:14,23,3,5,instagram,66,False,False,,True,0,teto,calmo
2024-02-13 10:36:04,34,2,8,whatsapp,101,False,False,,True,0,cintura,nervoso
2022-08-30 09:17:32,39,3,7,190,83,True,False,,True,5,tornozelo,panico
2024-06-01 23:24:39,48,1,8,instagram,58,False,False,,True,1,cintura,nervoso
2021-04-20 06:11:06,18,2,2,190,101,False,False,,True,1,cintura,nervoso
2023-04-09 21:37:52,21,3,7,whatsapp,1,False,True,,True,3,cintura,nervoso
2023-12-17 11:08:39,26,3,5,whatsapp,55,False,False,,True,0,cintura,panico
2024-07-16 04:47:47,25,3,2,instagram,41,False,False,,True,2,tornozelo,panico
2020-09-14 04:29:56,30,3,3,instagram,111,False,False,,True,2,cintura,calmo
2022-01-27 20:39:02,32,1,8,190,54,False,False,,True,1,tornozelo,calmo
2022-08-17 21:39:13,46,2,8,whatsapp,53,False,False,,True,1,cintura,calmo
2023-03-08 13:10:02,47,4,6,190,70,False,False,,True,6,teto,panico
2024-03-14 23:08:19,21,2,6,whatsapp,30,False,False,,True,4,teto,panico
2026-01-25 05:11:04,36,1,8,190,105,False,False,,False,2,cintura,calmo
2023-12-23 04:24:13,44,3,5,whatsapp,55,False,False,,True,4,teto,panico
2022-12-30 22:09:40,48,2,8,190,18,True,False,,True,0,teto,nervoso
2024-12-28 15:03:05,2,1,9,instagram,27,False,False,,True,1,tornozelo,nervoso
2020-12-07 07:48:32,12,3,6,whatsapp,86,False,False,,True,3,tornozelo,calmo
2024-11-19 15:19:56,20,4,7,190,70,False,False,,True,4,cintura,panico
2021-04-17 09:07:32,14,4,9,instagram,18,False,True,,True,5,teto,calmo
2021-10-01 03:21:20,29,2,2,190,22,False,False,,True,0,tornozelo,nervoso
2025-02-14 05:11:08,25,0,4,whatsapp,56,False,False,,True,2,teto,nervoso
2024-02-07 22:24:59,24,3,3,instagram,69,True,False,,True,4,cintura,panico
2021-07-13 11:10:14,1,4,7,whatsapp,9,False,False,,True,2,tornozelo,calmo
2021-09-01 07:31:51,1,2,4,instagram,3,False,False,,False,0,tornozelo,nervoso
2021-01-07 12:04:52,4,1,2,whatsapp,100,False,False,,True,1,cintura,calmo
2021-08-08 02:04:49,8,2,7,instagram,61,False,False,,True,2,cintura,nervoso
2024-03-27 10:33:34,9,2,6,whatsapp,43,False,False,,True,0,teto,panico
2026-03-29 20:57:00,18,2,9,whatsapp,55,False,False,,False,3,teto,calmo
2025-07-27 13:44:20,41,3,8,whatsapp,5,True,False,,True,0,teto,nervoso
2022-04-08 18:27:01,16,3,7,190,3,False,False,,True,2,tornozelo,calmo
2020-01-07 22:40:09,39,3,3,whatsapp,26,False,False,,True,0,cintura,panico
2022-11-14 16:54:48,23,2,2,190,21,True,False,,True,1,cintura,calmo
2026-02-15 08:47:48,48,4,9,whatsapp,25,False,False,,True,3,tornozelo,panico
2020-03-05 01:24:33,1,1,1,instagram,59,True,False,,True,1,tornozelo,nervoso
2021-12-05 00:17:14,30,3,8,190,118,False,False,,True,3,cintura,nervoso
2021-05-18 11:06:30,22,3,1,190,100,False,False,,True,2,tornozelo,calmo
2025-07-30 17:06:38,17,2,5,190,33,False,False,,True,0,teto,nervoso
2022-12-09 20:26:50,39,2,3,190,109,False,False,,True,1,cintura,nervoso
2024-07-11 04:41:37,30,3,6,whatsapp,4,False,False,,True,4,teto,calmo
2021-06-29 16:35:51,9,3,8,190,22,False,False,,True,2,tornozelo,nervoso
2020-01-11 20:36:07,12,3,8,instagram,86,False,False,,True,4,tornozelo,panico
2024-06-29 20:50:01,25,3,6,190,76,False,False,,True,3,cintura,calmo
2020-05-01 20:53:29,18,1,6,190,2,False,True,,True,2,cintura,calmo
2024-08-25 15:44:20,29,3,9,190,111,False,True,,True,6,teto,calmo
2025-12-05 17:16:15,8,5,2,whatsapp,13,False,False,,True,3,teto,nervoso
2022-02-11 10:54:01,47,3,5,whatsapp,82,False,False,,True,3,tornozelo,panico
2025-07-28 08:00:31,8,2,1,instagram,55,True,False,,True,3,teto,nervoso
2023-03-19 19:39:06,18,2,6,190,88,False,False,,True,2,cintura,calmo
2021-09-22 21:14:13,46,3,5,whatsapp,9,False,False,,True,4,teto,panico
2024-02-14 10:04:15,43,3,1,whatsapp,110,False,False,,True,4,teto,nervoso
2024-11-15 20:51:20,32,2,2,instagram,110,False,False,,True,3,teto,calmo
2020-04-30 23:51:42,22,2,6,190,39,False,False,,True,3,teto,nervoso
2023-10-14 18:17:06,27,3,2,instagram,19,False,False,,True,3,teto,nervoso
2026-04-05 04:14:31,36,4,3,190,58,False,False,,True,1,cintura,calmo
2020-04-26 05:50:32,3,3,9,190,28,True,False,,True,3,tornozelo,calmo
2021-03-19 06:57:44,47,3,8,whatsapp,90,False,False,,True,4,tornozelo,panico
2022-03-22 11:28:47,1,2,3,whatsapp,86,False,False,,True,1,cintura,nervoso
2021-10-29 10:16:23,1,2,1,190,47,False,False,,True,1,cintura,panico
2023-03-03 04:35:15,6,5,5,190,70,False,False,,True,0,teto,panico
2024-08-30 00:11:13,23,4,8,instagram,59,False,False,,True,2,tornozelo,calmo
2021-06-30 17:06:54,26,1,7,instagram,113,False,False,,True,2,tornozelo,calmo
2023-01-08 15:38:24,24,3,7,190,78,False,False,,True,6,teto,panico
2024-03-24 04:51:53,27,3,8,whatsapp,21,False,False,,True,4,teto,nervoso
2024-07-29 15:06:24,39,1,8,whatsapp,65,False,False,,True,0,tornozelo,nervoso
2024-09-25 23:35:37,20,2,5,190,52,True,False,,True,3,teto,nervoso
2025-07-01 14:48:13,36,2,5,190,42,False,False,,False,0,tornozelo,calmo
2022-03-25 04:28:50,24,3,9,instagram,70,True,False,,True,5,tornozelo,panico
2020-09-29 08:00:50,41,2,7,190,86,False,False,,False,5,teto,panico
2020-12-25 17:45:01,5,2,2,190,84,False,False,,True,1,tornozelo,nervoso
2020-06-08 21:56:35,47,2,8,190,8,False,False,,True,2,cintura,panico
2020-03-11 20:08:20,17,1,6,190,23,False,False,,True,2,tornozelo,panico
2026-02-28 08:03:02,0,3,4,whatsapp,86,False,False,,True,5,teto,panico
2025-10-19 21:51:34,34,3,6,190,24,False,False,,True,5,teto,panico
2024-11-06 15:55:59,39,2,8,190,9,False,False,,True,2,cintura,panico
2022-03-04 08:17:40,28,2,6,whatsapp,95,False,False,,True,2,tornozelo,nervoso
2024-09-05 11:10:42,33,3,6,instagram,62,False,False,,True,6,teto,panico
2023-05-25 06:11:49,30,3,3,instagram,35,False,False,,False,1,tornozelo,calmo
2022-09-18 19:47:06,44,1,2,instagram,24,False,False,,True,0,cintura,calmo
2021-08-05 01:59:19,30,3,7,instagram,56,False,True,,True,3,tornozelo,calmo
2026-03-18 14:39:34,19,2,8,instagram,75,False,False,,True,3,tornozelo,panico
2020-05-24 09:42:19,4,4,9,190,80,False,False,,True,3,cintura,calmo
2022-06-27 22:53:28,40,3,8,whatsapp,30,False,False,,False,2,tornozelo,calmo
2020-03-18 13:56:51,18,2,8,190,13,False,False,,False,1,cintura,calmo
2020-08-28 15:48:19,25,3,4,whatsapp,67,True,True,,True,4,tornozelo,calmo
2020-08-13 04:23:52,27,2,1,instagram,87,True,False,,False,2,tornozelo,nervoso
2026-02-08 23:19:47,20,2,2,instagram,79,False,False,,True,3,teto,calmo
2021-02-23 04:15:05,11,3,2,190,32,False,False,,True,3,teto,nervoso
2020-03-19 10:48:00,12,2,5,190,100,True,False,,False,2,tornozelo,calmo
2023-02-17 11:13:43,7,2,3,whatsapp,92,False,False,,False,1,cintura,nervoso
2023-07-29 14:45:56,24,2,2,instagram,107,False,False,,True,0,teto,panico
2022-09-06 22:36:42,19,1,3,190,20,True,False,,True,1,tornozelo,calmo
2025-07-24 18:40:38,11,1,1,instagram,38,False,False,,False,1,cintura,panico
2020-12-20 00:30:52,44,3,5,190,10,False,False,,True,1,tornozelo,calmo
2022-08-07 01:41:46,16,1,5,instagram,42,False,False,,False,2,teto,nervoso
2021-12-09 02:24:45,44,3,8,whatsapp,78,False,False,,False,4,tornozelo,panico
2020-04-09 14:50:28,34,3,3,190,71,False,False,,True,0,teto,panico
2024-06-01 03:41:39,17,3,5,instagram,55,False,False,,True,1,tornozelo,calmo
2024-09-24 01:29:17,33,2,9,whatsapp,11,False,False,,True,3,teto,calmo
2025-12-04 21:17:42,33,0,6,190,21,False,False,,True,4,teto,panico
2024-05-31 06:04:11,40,3,9,instagram,108,True,False,,True,6,teto,calmo
2023-12-02 11:05:11,18,1,2,instagram,38,False,True,,True,3,teto,calmo
2025-12-19 09:17:38,15,4,9,whatsapp,7,False,False,,True,3,cintura,panico
2021-02-10 15:51:43,24,4,8,190,103,False,False,,True,5,teto,calmo
2022-09-07 10:16:19,6,3,3,whatsapp,8,False,False,,True,3,teto,calmo
2023-09-04 02:50:27,25,1,6,whatsapp,106,False,False,,True,2,cintura,calmo
2020-02-20 03:30:54,43,4,3,whatsapp,21,False,False,,True,1,tornozelo,nervoso
2025-04-30 06:45:03,41,2,7,whatsapp,50,False,False,,True,3,teto,nervoso
2025-08-08 03:24:27,26,2,4,190,86,True,False,,True,4,teto,nervoso
2022-10-01 14:28:11,40,1,3,instagram,49,False,False,,True,0,cintura,nervoso
2025-12-01 14:54:04,21,3,9,190,88,False,True,,True,6,teto,nervoso
2021-04-26 19:07:21,4,1,8,whatsapp,33,False,False,,True,0,tornozelo,panico
2025-02-02 06:50:23,39,3,5,190,30,True,False,,True,3,cintura,panico
2023-01-15 00:18:46,2,3,8,whatsapp,110,False,False,,True,3,tornozelo,nervoso
2020-04-03 05:20:40,14,3,7,190,62,False,False,,True,4,cintura,panico
2020-11-21 15:50:07,24,2,5,instagram,77,True,False,,True,2,cintura,calmo
2022-04-12 22:20:02,24,4,9,whatsapp,57,True,False,,True,0,tornozelo,nervoso
2020-02-02 00:56:45,3,3,2,whatsapp,89,False,False,,True,3,cintura,panico
2021-06-01 14:04:01,5,2,1,whatsapp,26,False,False,,True,1,tornozelo,panico
2025-07-09 22:46:54,13,2,3,190,103,False,False,,True,2,tornozelo,panico
2025-12-20 16:56:22,18,3,1,whatsapp,15,False,False,,True,1,cintura,calmo
2024-06-08 02:24:02,22,3,3,instagram,54,False,False,,False,4,teto,panico
2022-04-09 09:12:23,41,2,1,whatsapp,11,False,False,,True,1,cintura,panico
2021-09-25 19:18:29,48,1,3,whatsapp,86,True,False,,True,4,teto,nervoso
2021-10-08 12:17:29,36,1,5,whatsapp,37,False,False,,True,1,cintura,panico
2024-04-28 19:25:32,33,4,2,whatsapp,65,False,False,,True,0,tornozelo,panico
2023-11-22 04:05:35,6,3,2,whatsapp,19,False,False,,True,2,tornozelo,panico
2022-05-10 20:21:35,0,5,1,190,54,False,False,,True,2,tornozelo,panico
2021-03-01 06:27:28,4,3,2,instagram,19,False,False,,True,1,cintura,nervoso
2025-11-14 07:00:29,3,2,1,instagram,18,False,False,,True,1,tornozelo,panico
2022-02-08 19:01:47,33,2,4,instagram,63,False,False,,True,1,tornozelo,nervoso
2024-04-06 06:47:14,13,3,2,instagram,1,False,False,,True,2,tornozelo,panico
2021-02-08 01:59:31,42,3,3,whatsapp,56,False,True,,True,3,cintura,panico
2024-03-26 00:51:25,12,4,5,whatsapp,119,False,False,,True,4,teto,nervoso
2022-03-01 01:27:22,30,2,6,whatsapp,87,False,False,,True,4,teto,nervoso
2024-06-01 10:15:42,29,1,8,instagram,101,True,False,,True,5,teto,nervoso
2025-05-15 07:42:41,33,3,4,whatsapp,85,False,False,,True,5,teto,panico
2021-05-09 00:01:42,49,1,3,190,23,False,False,,True,2,teto,calmo
2023-01-04 17:43:20,29,2,4,190,27,False,False,,True,3,teto,panico
2023-01-27 13:33:47,47,3,8,whatsapp,79,False,False,,True,5,teto,calmo
2024-03-06 06:28:00,49,2,7,instagram,104,False,False,,False,2,cintura,nervoso
2022-04-26 00:52:48,5,4,5,190,16,False,False,,True,1,tornozelo,calmo
2026-02-17 14:28:07,22,2,9,whatsapp,19,False,False,,True,2,cintura,panico
2025-07-25 18:01:03,47,2,8,instagram,112,True,False,,True,4,cintura,panico
2023-03-07 00:40:15,33,2,8,whatsapp,6,False,False,,True,1,tornozelo,nervoso
2021-08-07 07:43:06,47,4,5,instagram,86,False,False,,True,5,teto,panico
2025-01-20 10:11:52,37,2,4,instagram,66,True,False,,True,3,tornozelo,panico
2022-01-07 17:14:32,43,1,7,190,21,False,False,,False,1,cintura,calmo
2021-05-30 18:06:27,40,2,6,190,0,False,True,,True,3,cintura,panico
2022-07-31 14:29:35,40,4,9,190,89,False,False,,True,5,teto,nervoso
2021-11-02 23:28:16,45,3,2,whatsapp,0,False,True,,True,2,cintura,calmo
2023-08-25 21:38:24,28,4,6,whatsapp,24,False,False,,False,3,cintura,panico
2020-05-25 03:20:03,11,2,2,instagram,105,False,False,,True,1,cintura,nervoso
2021-02-26 23:33:24,26,3,9,190,50,False,False,,True,3,cintura,panico
2025-07-11 20:50:52,8,3,3,instagram,28,False,False,,True,1,tornozelo,nervoso
2021-06-17 15:03:25,29,2,4,instagram,65,False,False,,True,1,cintura,calmo
2024-10-17 15:08:36,7,1,3,whatsapp,82,True,False,,True,5,teto,panico
2026-02-09 05:11:10,11,3,7,whatsapp,96,True,False,,True,6,teto,calmo
2025-10-02 19:40:13,20,3,5,instagram,77,False,False,,True,2,tornozelo,nervoso
2024-03-21 01:59:00,17,3,9,whatsapp,58,False,False,,True,0,tornozelo,panico
2023-03-27 05:56:15,0,1,2,190,52,False,True,,True,2,tornozelo,panico
2023-09-20 20:14:22,49,2,9,190,60,True,False,,True,2,tornozelo,nervoso
2024-07-31 21:13:27,22,3,9,190,88,False,False,,True,5,teto,calmo
2022-02-12 17:53:19,24,2,6,whatsapp,110,False,False,,True,2,tornozelo,calmo
2020-01-27 12:57:25,39,2,9,instagram,90,False,False,,True,2,cintura,nervoso
2021-06-12 01:48:43,38,2,6,whatsapp,41,True,False,,True,2,cintura,calmo
2023-07-30 08:36:04,8,3,7,190,91,False,False,,True,4,cintura,panico
2025-08-03 14:09:50,21,3,1,whatsapp,41,False,False,,True,2,cintura,panico
2024-02-26 21:32:49,44,1,8,190,95,False,False,,True,2,tornozelo,nervoso
2020-07-02 16:41:04,46,1,8,instagram,115,False,False,,True,3,tornozelo,panico
2022-07-12 20:44:58,41,3,2,instagram,104,False,False,,True,3,cintura,panico
2025-08-30 07:54:34,19,4,8,instagram,19,False,False,,True,4,teto,nervoso
2026-04-20 08:59:10,38,2,4,instagram,16,False,False,,True,0,cintura,nervoso
2024-07-19 02:18:16,37,4,7,instagram,43,True,False,,True,3,cintura,calmo
2025-05-12 07:12:00,49,1,7,whatsapp,85,False,False,,True,2,cintura,calmo
2024-10-24 11:43:14,20,2,1,instagram,81,True,False,,True,2,cintura,nervoso
2025-06-15 00:15:50,22,5,2,instagram,31,False,True,,True,4,teto,nervoso
2025-05-29 08:18:18,35,3,7,instagram,18,False,False,,True,2,tornozelo,calmo
2026-03-17 21:30:39,31,1,9,instagram,40,False,False,,True,3,teto,calmo
2022-04-19 08:50:42,11,3,7,whatsapp,3,True,False,,True,6,teto,panico
2021-04-08 22:17:35,9,1,6,instagram,20,True,False,,True,3,tornozelo,panico
2022-12-12 14:35:50,46,1,5,whatsapp,83,False,False,,True,3,teto,nervoso
2025-09-10 21:10:40,7,3,9,whatsapp,19,False,True,,True,3,tornozelo,nervoso
2021-07-23 12:14:49,7,2,2,instagram,59,False,False,,False,2,teto,calmo
2024-07-06 08:53:41,45,3,8,190,19,False,False,,True,0,tornozelo,calmo
2022-03-29 00:34:48,47,1,7,whatsapp,60,True,False,,False,2,cintura,nervoso
2026-03-22 18:26:32,15,5,1,whatsapp,75,False,False,,True,2,tornozelo,nervoso
2023-05-15 02:09:07,1,1,1,190,20,False,False,,True,0,cintura,calmo
2023-04-01 04:26:42,19,1,9,whatsapp,18,False,False,,True,4,teto,panico
2020-10-01 00:20:40,36,4,8,instagram,75,True,False,,True,5,cintura,panico
2023-06-16 03:59:29,25,0,5,190,116,False,False,,True,3,teto,nervoso
2024-10-18 21:35:48,16,0,4,190,86,False,False,,True,1,cintura,calmo
2021-04-30 20:53:49,23,1,2,190,7,True,False,,True,3,teto,calmo
2021-12-26 15:50:12,27,3,4,190,75,True,False,,True,6,teto,panico
2021-01-19 14:24:53,31,3,5,190,70,False,False,,True,3,tornozelo,panico
2023-01-24 09:47:46,39,2,1,whatsapp,4,True,False,,True,2,tornozelo,panico
2022-04-14 01:33:31,0,2,5,instagram,99,False,False,,True,1,tornozelo,nervoso
2024-06-14 22:37:07,45,0,2,190,10,False,False,,True,2,teto,calmo
2020-11-17 12:02:29,30,3,8,190,88,False,False,,True,3,cintura,calmo
2022-08-28 17:49:27,36,3,1,instagram,95,True,False,,False,4,tornozelo,panico
2020-05-07 23:01:07,26,4,8,whatsapp,43,False,False,,True,4,teto,calmo
2024-07-15 12:21:43,37,2,1,190,80,False,False,,True,1,tornozelo,nervoso
2025-03-10 23:53:16,33,3,4,instagram,36,False,False,,True,1,cintura,calmo
2022-02-08 21:40:53,2,3,9,instagram,87,False,False,,True,5,teto,nervoso
2023-03-11 12:40:18,46,2,2,whatsapp,110,True,False,,True,4,teto,nervoso
2024-05-20 22:07:14,23,4,5,whatsapp,83,True,False,,True,0,cintura,nervoso
2024-04-20 15:50:27,28,3,1,whatsapp,78,False,False,,True,2,cintura,nervoso
2024-06-11 11:50:23,2,3,6,whatsapp,42,False,False,,True,3,cintura,panico
2020-07-15 14:55:18,3,3,3,190,119,False,False,,True,4,teto,nervoso
2023-05-14 15:37:09,34,3,1,whatsapp,101,False,False,,True,5,teto,panico
2020-01-01 04:59:52,2,3,9,whatsapp,1,True,False,,True,3,cintura,calmo
2024-03-04 15:30:06,4,4,1,whatsapp,91,False,True,,True,6,teto,panico
2025-12-30 17:44:53,40,1,8,instagram,34,False,False,,True,3,teto,calmo
2024-06-30 11:51:32,25,3,2,190,52,True,False,,True,3,cintura,panico
2021-05-18 11:43:10,46,4,1,instagram,30,False,False,,True,2,cintura,panico
2023-01-02 19:12:23,16,0,5,whatsapp,97,False,False,,True,2,tornozelo,panico
2022-03-10 07:39:08,44,2,7,whatsapp,89,False,False,,True,2,cintura,calmo
2024-07-08 13:07:08,35,2,3,instagram,68,False,False,,True,3,teto,calmo
2025-11-17 08:02:01,5,3,1,whatsapp,94,False,False,,True,4,teto,nervoso
2025-05-10 07:45:44,18,3,3,whatsapp,48,False,False,,True,0,cintura,calmo
2020-07-13 03:21:24,29,4,5,190,68,False,False,,True,4,teto,nervoso
2022-09-08 15:50:16,21,3,1,whatsapp,78,False,False,,False,2,cintura,calmo
2025-05-10 08:07:48,28,3,2,190,87,False,False,,True,0,cintura,calmo
2024-02-21 01:33:52,7,4,6,instagram,84,False,False,,True,5,teto,nervoso
2025-06-03 19:00:05,11,4,1,instagram,82,False,False,,True,4,teto,nervoso
2021-08-26 04:53:47,25,3,8,190,54,False,False,,True,2,cintura,calmo
2024-04-20 09:26:37,2,4,4,instagram,17,True,False,,True,2,tornozelo,nervoso
2022-12-02 06:51:20,49,3,8,190,51,False,False,,True,3,cintura,panico
2020-03-08 07:26:51,4,2,2,instagram,118,False,False,,True,0,tornozelo,nervoso
2024-01-20 06:46:36,35,2,8,whatsapp,42,False,False,,True,0,tornozelo,calmo
2024-10-27 02:21:27,41,3,1,whatsapp,108,False,True,,True,3,tornozelo,calmo
2025-03-17 14:42:18,25,1,4,instagram,25,False,False,,True,0,cintura,nervoso
2023-10-14 00:58:41,0,2,3,whatsapp,95,False,False,,True,2,cintura,panico
2023-05-06 02:14:14,13,4,7,instagram,34,False,False,,True,2,cintura,calmo
2024-02-29 18:17:14,38,2,7,190,24,False,False,,True,1,cintura,calmo
2025-03-31 00:59:44,34,2,1,190,4,False,False,,False,0,tornozelo,nervoso
2023-11-08 04:54:44,33,2,1,whatsapp,92,False,False,,True,1,tornozelo,calmo
2022-04-25 05:24:53,14,5,9,190,109,True,False,,True,0,cintura,calmo
2021-06-12 16:02:29,24,2,9,instagram,61,False,False,,True,2,cintura,calmo
2020-10-22 07:07:23,44,3,2,whatsapp,12,False,False,,True,3,teto,calmo
2025-07-28 19:25:45,10,2,8,whatsapp,28,False,False,,True,1,cintura,nervoso
2020-04-09 23:27:51,40,2,3,whatsapp,22,False,False,,True,0,tornozelo,panico
2020-05-16 01:14:49,47,2,2,whatsapp,72,False,False,,True,3,teto,nervoso
2025-02-24 18:33:28,34,3,3,instagram,27,False,False,,True,1,cintura,nervoso
2022-01-18 22:52:43,17,3,9,190,54,False,False,,True,2,cintura,nervoso
2020-06-17 01:18:55,36,3,6,190,37,True,False,,False,5,teto,nervoso
2020-08-19 11:40:14,27,3,1,190,28,False,False,,True,2,tornozelo,panico
2023-01-07 21:07:20,24,3,9,whatsapp,86,False,False,,True,3,tornozelo,nervoso
2020-06-14 00:48:52,21,3,4,190,83,False,False,,True,3,tornozelo,panico
2021-02-06 16:49:52,33,2,4,190,72,False,False,,True,3,teto,calmo
2023-10-12 03:50:13,39,2,8,instagram,89,True,False,,True,4,cintura,panico
2025-10-06 17:01:50,20,1,6,190,116,False,False,,True,0,teto,panico
2025-02-17 19:14:52,13,3,6,instagram,80,False,False,,False,3,cintura,calmo
2021-05-21 20:29:51,40,5,3,190,35,False,False,,True,2,tornozelo,panico
2020-01-28 11:10:40,36,3,8,190,103,False,False,,True,3,cintura,nervoso
2022-01-27 13:56:37,4,0,7,instagram,73,False,True,,True,3,cintura,nervoso
2020-03-06 04:36:10,48,1,9,whatsapp,33,False,False,,True,1,tornozelo,calmo
2021-11-27 01:20:56,49,1,9,whatsapp,68,False,True,,True,3,tornozelo,calmo
2022-01-05 04:01:49,31,5,7,190,81,True,False,,True,4,cintura,nervoso
2025-11-25 09:18:25,44,2,6,whatsapp,64,False,False,,True,3,tornozelo,panico
2023-12-21 09:56:48,12,4,7,whatsapp,96,False,True,,True,5,tornozelo,panico
2024-04-19 06:52:02,43,2,9,instagram,91,False,False,,True,2,tornozelo,nervoso
2024-03-29 18:56:19,44,3,3,190,112,False,False,,True,2,tornozelo,nervoso
2022-11-15 07:35:50,47,2,9,instagram,67,False,False,,True,2,tornozelo,nervoso
2020-06-07 00:43:09,30,2,9,whatsapp,19,False,False,,True,0,teto,nervoso
